#;Название;Минимум X, мкм;Максимум X, мкм;Количество;Сумма;Минимум, мкм;Максимум, мкм;Среднее, мкм;Стандартное отклонение, мкм;Дисперсия;Доля (%);Доля (площадь)
1;Диапазон 1;10,3009;13,9644;3;34,3614;10,3009;13,7325;11,4538;1,61136;2,59649;5,76923;2,37664e-312
2;Диапазон 2;13,9644;17,628;2;31,1663;14,2679;16,8985;15,5832;1,31531;1,73003;3,84615;1,01856e-312
3;Диапазон 3;17,628;21,2916;7;142,048;17,9624;21,2038;20,2925;1,10183;1,21404;13,4615;53
4;Диапазон 4;21,2916;24,9551;13;301,32;21,3888;24,8253;23,1784;1,0041;1,00822;25;43
5;Диапазон 5;24,9551;28,6187;11;290,052;24,9597;28,5174;26,3684;1,17886;1,38972;21,1538;57432,5
6;Диапазон 6;28,6187;32,2822;14;429,298;29,841;32,23;30,6641;0,74432;0,554012;26,9231;9,85284e-312
7;Диапазон 7;32,2822;35,9458;1;33,0059;33,0059;33,0059;33,0059;0;0;1,92308;6,36599e-314
8;Диапазон 8;35,9458;39,6093;1;39,6093;39,6093;39,6093;39,6093;0;0;1,92308;4,90404e-314
